params,output_dir,checkpoint_path,status,train_NanoBEIR_R100_mean_ndcg@10,train_mrr@10,train_acc@3,train_mean_constraint_violation,train_min_constraint_violation,train_max_constraint_violation,train_length_weighted_mrr,train_avg_top3_length,train_loss,eval_NanoBEIR_R100_mean_ndcg@10,eval_mrr@10,eval_acc@3,eval_mean_constraint_violation,eval_min_constraint_violation,eval_max_constraint_violation,eval_length_weighted_mrr,eval_avg_top3_length,eval_loss
"{'exp.loss_type': 'ls', 'exp.length_constraint': True, 'exp.loss_tol': '10', 'exp.alpha': 1, 'exp.obj_type': 'rank_weighted_length'}",./outputs/reranker/answerdotai/ModernBERT-large-ls-rank_weighted_length-10-small,outputs/reranker/answerdotai/ModernBERT-large-ls-rank_weighted_length-10-small/checkpoint-441,failed,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{'exp.loss_type': 'ls', 'exp.length_constraint': True, 'exp.loss_tol': '10', 'exp.alpha': 1, 'exp.obj_type': 'spearman_corr'}",./outputs/reranker/answerdotai/ModernBERT-large-ls-spearman_corr-10-small,outputs/reranker/answerdotai/ModernBERT-large-ls-spearman_corr-10-small/checkpoint-441,failed,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{'exp.loss_type': 'ls', 'exp.length_constraint': True, 'exp.loss_tol': '10', 'exp.alpha': 1, 'exp.obj_type': 'top_k_length'}",./outputs/reranker/answerdotai/ModernBERT-large-ls-top_k_length-10-small,,no_models_found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{'exp.loss_type': 'ls', 'exp.length_constraint': True, 'exp.loss_tol': '10', 'exp.alpha': 1, 'exp.obj_type': 'exp_length_penalty'}",./outputs/reranker/answerdotai/ModernBERT-large-ls-exp_length_penalty-10-small,outputs/reranker/answerdotai/ModernBERT-large-ls-exp_length_penalty-10-small/checkpoint-441,failed,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{'exp.loss_type': 'ls', 'exp.length_constraint': True, 'exp.loss_tol': '10', 'exp.alpha': 1, 'exp.obj_type': 'pearson_corr'}",./outputs/reranker/answerdotai/ModernBERT-large-ls-pearson_corr-10-small,outputs/reranker/answerdotai/ModernBERT-large-ls-pearson_corr-10-small/checkpoint-441,failed,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{'exp.loss_type': 'ls', 'exp.length_constraint': True, 'exp.loss_tol': '0', 'exp.alpha': 1, 'exp.obj_type': 'rank_weighted_length'}",./outputs/reranker/answerdotai/ModernBERT-large-ls-rank_weighted_length-0-small,outputs/reranker/answerdotai/ModernBERT-large-ls-rank_weighted_length-0-small/checkpoint-441,failed,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{'exp.loss_type': 'ls', 'exp.length_constraint': True, 'exp.loss_tol': '0', 'exp.alpha': 1, 'exp.obj_type': 'spearman_corr'}",./outputs/reranker/answerdotai/ModernBERT-large-ls-spearman_corr-0-small,outputs/reranker/answerdotai/ModernBERT-large-ls-spearman_corr-0-small/checkpoint-441,failed,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{'exp.loss_type': 'ls', 'exp.length_constraint': True, 'exp.loss_tol': '0', 'exp.alpha': 1, 'exp.obj_type': 'top_k_length'}",./outputs/reranker/answerdotai/ModernBERT-large-ls-top_k_length-0-small,,no_models_found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{'exp.loss_type': 'ls', 'exp.length_constraint': True, 'exp.loss_tol': '0', 'exp.alpha': 1, 'exp.obj_type': 'exp_length_penalty'}",./outputs/reranker/answerdotai/ModernBERT-large-ls-exp_length_penalty-0-small,,no_models_found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{'exp.loss_type': 'ls', 'exp.length_constraint': True, 'exp.loss_tol': '0', 'exp.alpha': 1, 'exp.obj_type': 'pearson_corr'}",./outputs/reranker/answerdotai/ModernBERT-large-ls-pearson_corr-0-small,,no_models_found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
